,title,published,date,author_corresponding_institution,journal,citation_count
4,The biological functions of Naa10—from amino-terminal acetylation to human disease,10.1016/j.gene.2015.04.085,2015-01-29,CSHL,['Gene'],34
5,The biological functions of Naa10—from amino-terminal acetylation to human disease,10.1016/j.gene.2015.04.085,2015-04-21,CSHL,['Gene'],34
8,Rich structure landscapes in both natural and artificial RNAs revealed by mutate-and-map analysis,10.1371/journal.pcbi.1004473,2015-04-06,Stanford University,['PLoS Comput Biol'],25
11,Evolution-Based Functional Decomposition of Proteins,10.1371/journal.pcbi.1004817,2015-07-15,UT Southwestern Medical Center,['PLoS Comput Biol'],37
12,Structural modeling of the flagellum MS ring protein FliF reveals similarities to the type III secretion system and sporulation complex,10.7717/peerj.1718,2015-07-30,University of British Columbia,[],10
13,Structural modeling of the flagellum MS ring protein FliF reveals similarities to the type III secretion system and sporulation complex,10.7717/peerj.1718,2015-11-04,University of British Columbia,[],10
15,Structure and conformational states of the bovine mitochondrial ATP synthase by cryo-EM,10.7554/eLife.10180,2015-08-11,The Hospital for SIck Children,[],153
16,Structure and conformational states of the bovine mitochondrial ATP synthase by cryo-EM,10.7554/eLife.10180,2015-10-01,The Hospital for SIck Children,[],153
17,A Novel Method and Simple On-line Tool for Maximum Likelihood Calibration of Immunoblots and other Measurements that are Quantified in Batches,10.1371/journal.pone.0149575,2015-09-02,Fred Hutchinson Cancer Research Center,['PLoS ONE'],6
18,Mechanism-based sirtuin enzyme activation,10.1371/journal.pone.0194175,2015-09-28,"Division of Fundamental Research, PMC Advanced Technology",['PLoS ONE'],1
19,Actin activates Pseudomonas aeruginosa ExoY nucleotidyl cyclase toxin and ExoY-like effector domains from MARTX toxins,10.1038/ncomms13582,2015-11-18,Institut Pasteur Paris,['Nat Commun'],26
20,Activation of G proteins by guanine nucleotide exchange factors relies on GTPase activity,10.1371/journal.pone.0151861,2015-11-23,University College London,['PLoS ONE'],6
21,Efficient sequence-specific isolation of DNA fragments and chromatin by in vitro enChIP technology using recombinant CRISPR ribonucleoproteins,10.1111/gtc.12341,2015-11-30,Osaka University,['Genes Cells'],23
22,Induced-fit of the peptidyl-transferase center of the ribosome and conformational freedom of the esterified amino acids,10.1261/rna.057273.116,2015-12-02,Institute for Integrative Biology of the Cell (I2BC),['RNA'],8
23,Modeling error in experimental assays using the bootstrap principle: Understanding discrepancies between assays using different dispensing technologies,10.1007/s10822-015-9888-6,2015-12-09,Memorial Sloan Kettering Cancer Center,['J Comput Aided Mol Des'],6
24,Characterizing RNA structures in vitro and in vivo with selective 2’-hydroxyl acylation analyzed by primer extension sequencing (SHAPE-Seq),10.1016/j.ymeth.2016.04.002,2015-12-15,Cornell University,['Methods'],46
25,Estimation of the lag time in a subsequent monomer addition model for fibril elongation,10.1039/C5CP07845H,2015-12-20,University of Michigan Medical School,['Phys. Chem. Chem. Phys.'],11
26,Estimation of the lag time in a subsequent monomer addition model for fibril elongation,10.1039/C5CP07845H,2016-03-01,University of Michigan Medical School,['Phys. Chem. Chem. Phys.'],11
27,Estimation of the lag time in a subsequent monomer addition model for fibril elongation,10.1039/C5CP07845H,2016-04-22,University of Michigan Medical School,['Phys. Chem. Chem. Phys.'],11
28,Proteomic indicators of oxidation and hydration state in colorectal cancer,10.7717/peerj.2238,2016-01-04,Wattanothaipayap School,[],4
29,Proteomic indicators of oxidation and hydration state in colorectal cancer,10.7717/peerj.2238,2016-06-05,Wattanothaipayap School,[],4
30,An open library of human kinase domain constructs for automated bacterial expression,10.1021/acs.biochem.7b01081,2016-02-03,"Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center",['Biochemistry'],1
31,An open library of human kinase domain constructs for automated bacterial expression,10.1021/acs.biochem.7b01081,2016-02-25,"Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center",['Biochemistry'],1
32,RNA structure through multidimensional chemical mapping,10.1017/S0033583516000020,2016-02-04,Stanford University,['Quart. Rev. Biophys.'],28
33,Two-Dimensional NMR Lineshape Analysis,10.1038/srep24826,2016-02-15,University College London,['Sci Rep'],61
34,Y-box protein 1 is required to sort microRNAs into exosomes in cells and in a cell-free reaction,10.7554/eLife.19276,2016-02-19,UC Berkeley,[],167
35,Coarse-grained simulation reveals key features of HIV-1 capsid self-assembly,10.1038/ncomms11568,2016-02-23,University of Chicago,['Nat Commun'],59
36,Atomic structure of Hsp90:Cdc37:Cdk4 reveals Hsp90 regulates kinase via dramatic unfolding,10.1126/science.aaf5023,2016-02-23,University of California San Francisco,['Science'],147
37,Atomic structure of Hsp90:Cdc37:Cdk4 reveals Hsp90 regulates kinase via dramatic unfolding,10.1126/science.aaf5023,2016-02-25,University of California San Francisco,['Science'],147
38,Atomic structure of Hsp90:Cdc37:Cdk4 reveals Hsp90 regulates kinase via dramatic unfolding,10.1126/science.aaf5023,2016-03-04,University of California San Francisco,['Science'],147
39,A Novel Initiation Pathway in Escherichia Coli Transcription,10.1073/pnas.1605038113,2016-03-04,"Department of Chemistry and Biochemistry, University of California, Los Angeles",['Proc Natl Acad Sci USA'],47
40,A Novel Initiation Pathway in Escherichia Coli Transcription,10.1073/pnas.1605038113,2016-03-27,"Department of Chemistry and Biochemistry, University of California, Los Angeles",['Proc Natl Acad Sci USA'],47
45,Hormetic Shifting of Redox Environment by Pro-Oxidative Resveratrol Protects Cells Against Stress,10.1016/j.freeradbiomed.2016.08.006,2016-03-24,Max-Planck-Institute for Molecular Genetics,['Free Radical Biology and Medicine'],33
46,Multi-site internal modification of long DNA substrates for single-molecule studies,10.1038/s41598-017-01984-x,2016-03-28,UT-Austin,['Sci Rep'],9
47,Structural and kinetic analysis of the COP9-Signalosome activation and the cullin-RING ubiquitin ligase deneddylation cycle,10.7554/eLife.12102,2016-03-30,ETH Zurich,[],45
48,Allosteric inhibition of Aurora-A kinase by a synthetic VNAR nanobody,10.1098/rsob.160089,2016-04-02,University of Leeds,['Open Biol.'],21
49,Magnetite biomineralization in Magnetospirillum magneticum is regulated by a switch-like behavior in the HtrA protease MamE,10.1074/jbc.M116.731000,2016-04-07,"University of California, Berkeley",['J. Biol. Chem.'],7
50,Magnetite biomineralization in Magnetospirillum magneticum is regulated by a switch-like behavior in the HtrA protease MamE,10.1074/jbc.M116.731000,2016-06-07,"University of California, Berkeley",['J. Biol. Chem.'],7
51,Assembly and Activation of Dynein-Dynactin by the Cargo Adaptor Protein Hook3,10.1083/jcb.201604002,2016-04-08,"University of California, San Francisco",[],73
52,The Higher Plant Plastid Complex I (NDH) is a Reversible Proton Pump that increases ATP production by Cyclic Electron Flow Around Photosystem I,10.1074/jbc.M116.770792,2016-04-22,Michigan State University,['J. Biol. Chem.'],28
53,Htm1p-Pdi1p is a folding sensitive mannosidase that marks N-glycoproteins for ER-associated protein degradation,10.1073/pnas.1608795113,2016-04-22,"University of California, San Francisco",['Proc Natl Acad Sci USA'],12
54,Automated structure refinement of macromolecular assemblies from cryo-EM maps using Rosetta,10.7554/eLife.17219,2016-04-26,University of Washington,[],114
55,On the validity and errors of the pseudo-first-order kinetics in ligand-receptor binding,10.1016/j.mbs.2016.09.010,2016-04-30,University of Michigan Medical School,['Mathematical Biosciences'],4
