,title,published,date,author_corresponding_institution,journal,citation_count
0,DNA Methylation Landscape Reflects the Spatial Organization of Chromatin in Different Cells,10.1016/j.bpj.2017.08.019,2016-10-13,Peking University,['Biophysical Journal'],11
1,Computational study of the impacts of mechanical and physical cell properties on mitotic cell rounding in developing epithelia,10.1371/journal.pcbi.1005533,2016-10-17,University of Notre Dame,['PLoS Comput Biol'],8
3,Collapse Precedes Folding in Denaturant-Dependent Assembly of Ubiquitin,10.1021/acs.jpcb.6b13100,2016-10-17,"Indian Institute of Science, Bangalore",['J. Phys. Chem. B'],22
4,Hi-C-constrained physical models of human chromosomes recover functionally-related properties of genome organization,10.1038/srep35985,2016-10-17,CNAG-CRG,['Sci Rep'],37
5,Flexibility and design: conformational heterogeneity along the evolutionary trajectory of a redesigned ubiquitin,10.1016/j.str.2017.03.009,2016-10-17,UCSF,['Structure'],9
7,ULTRAFAST LASER-PROBING SPECTROCOPY FOR STUDYING MOLECULAR STRUCTURE OF POLYMERIC PROTEINS,10.1039/c6an02570f,2016-10-19,Penn State,['Analyst'],5
8,How to fold intricately: using theory and experiments to unravel the properties of knotted proteins,10.1016/j.sbi.2016.10.002,2016-10-21,Scuola Internazionale Superiore di Studi Avanzati,['Current Opinion in Structural Biology'],32
9,Probing the effect of uniaxial compression on cell migration,10.1091/mbc.E16-08-0575,2016-10-21,Department of Engineering,['MBoC'],5
12,The role of evolutionary selection in the dynamics of protein structure evolution,10.1016/j.bpj.2017.02.029,2016-10-25,Harvard University,['Biophysical Journal'],13
14,Crossover in the dynamics of cell wall growth controls Caulobacter division times,10.1038/nmicrobiol.2017.116,2016-10-26,University of Chicago,['Nat Microbiol'],24
15,Analyzing Single Molecule Localization MicroscopyData Using Cubic Splines,10.1038/s41598-017-00622-w,2016-10-26,Harvard University,['Sci Rep'],25
16,A simple molecular mechanism explains multiple patterns of cell-size regulation,10.1371/journal.pone.0182633,2016-10-26,New York University Langone Medical Center,['PLoS ONE'],11
18,Physical basis of large microtubule aster growth,10.7554/eLife.19145,2016-10-27,Harvard Medical School,[],28
19,"Self assembly of HIV-1 Gag protein on lipid membranes generates PI(4,5)P2/Cholesterolnanoclusters.",10.1038/srep39332,2016-10-27,CPBS-CNRS,['Sci Rep'],22
20,Effects of of dimethyl sulfoxide on surface water near phospholipid bilayers,10.1016/j.bpj.2016.10.033,2016-10-27,Korea Institute for Advanced Study,['Biophysical Journal'],8
21,MSMBuilder: Statistical Models for Biomolecular Dynamics,10.1016/j.bpj.2016.10.042,2016-10-27,Stanford University,['Biophysical Journal'],107
22,MSMBuilder: Statistical Models for Biomolecular Dynamics,10.1016/j.bpj.2016.10.042,2016-10-30,Stanford University,['Biophysical Journal'],107
26,"Causality, Transfer Entropy and Allosteric Communication Landscapes inProteins with Harmonic Interactions",10.1002/prot.25272,2016-11-01,Koc University,['Proteins'],7
27,"Causality, Transfer Entropy and Allosteric Communication Landscapes inProteins with Harmonic Interactions",10.1002/prot.25272,2016-11-01,Koc University,['Proteins'],7
29,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766,2016-11-02,University of California Los Angeles,['PLoS ONE'],17
30,Effects of dimethyl sulfoxide on surface water near phospholipid bilayers,10.1016/j.bpj.2016.10.033,2016-11-02,Korea Institute for Advanced Study,['Biophysical Journal'],8
31,Folding Principle of Chromosome Emerges from Mapping of Genome Features onto its 3D Structure,10.1038/s41598-017-02923-6,2016-11-02,Peking University,['Sci Rep'],9
32,Using the Volta phase plate with defocus for cryo-EM single particle analysis,10.7554/eLife.23006,2016-11-03,Max Planck Institute of Biochemistry,[],69
