,title,published
0,DNA Methylation Landscape Reflects the Spatial Organization of Chromatin in Different Cells,10.1016/j.bpj.2017.08.019
1,Computational study of the impacts of mechanical and physical cell properties on mitotic cell rounding in developing epithelia,10.1371/journal.pcbi.1005533
3,Collapse Precedes Folding in Denaturant-Dependent Assembly of Ubiquitin,10.1021/acs.jpcb.6b13100
4,Hi-C-constrained physical models of human chromosomes recover functionally-related properties of genome organization,10.1038/srep35985
5,Flexibility and design: conformational heterogeneity along the evolutionary trajectory of a redesigned ubiquitin,10.1016/j.str.2017.03.009
7,ULTRAFAST LASER-PROBING SPECTROCOPY FOR STUDYING MOLECULAR STRUCTURE OF POLYMERIC PROTEINS,10.1039/c6an02570f
8,How to fold intricately: using theory and experiments to unravel the properties of knotted proteins,10.1016/j.sbi.2016.10.002
9,Probing the effect of uniaxial compression on cell migration,10.1091/mbc.E16-08-0575
12,The role of evolutionary selection in the dynamics of protein structure evolution,10.1016/j.bpj.2017.02.029
14,Crossover in the dynamics of cell wall growth controls Caulobacter division times,10.1038/nmicrobiol.2017.116
15,Analyzing Single Molecule Localization MicroscopyData Using Cubic Splines,10.1038/s41598-017-00622-w
16,A simple molecular mechanism explains multiple patterns of cell-size regulation,10.1371/journal.pone.0182633
18,Physical basis of large microtubule aster growth,10.7554/eLife.19145
19,"Self assembly of HIV-1 Gag protein on lipid membranes generates PI(4,5)P2/Cholesterolnanoclusters.",10.1038/srep39332
20,Effects of of dimethyl sulfoxide on surface water near phospholipid bilayers,10.1016/j.bpj.2016.10.033
21,MSMBuilder: Statistical Models for Biomolecular Dynamics,10.1016/j.bpj.2016.10.042
22,MSMBuilder: Statistical Models for Biomolecular Dynamics,10.1016/j.bpj.2016.10.042
26,"Causality, Transfer Entropy and Allosteric Communication Landscapes inProteins with Harmonic Interactions",10.1002/prot.25272
27,"Causality, Transfer Entropy and Allosteric Communication Landscapes inProteins with Harmonic Interactions",10.1002/prot.25272
29,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766
30,Effects of dimethyl sulfoxide on surface water near phospholipid bilayers,10.1016/j.bpj.2016.10.033
31,Folding Principle of Chromosome Emerges from Mapping of Genome Features onto its 3D Structure,10.1038/s41598-017-02923-6
32,Using the Volta phase plate with defocus for cryo-EM single particle analysis,10.7554/eLife.23006
33,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766
34,Histone code and higher-order chromatin folding: A hypothesis,10.18547/gcb.2017.vol3.iss2.e41
35,"Gentle, fast and effective crystal soaking by acoustic dispensing",10.1107/S205979831700331X
36,A looping-based model for quenching repression,10.1371/journal.pcbi.1005337
37,Flowtrace: simple visualization of coherent structures in biological fluid flows,10.1242/jeb.162511
38,Bridging microscopic and macroscopic mechanisms of p53-MDM2 binding using molecular simulations and kinetic network models,10.1016/j.bpj.2017.07.009
39,A Critical-like Collective State Leads to Long-range Cell Communication in Dictyostelium discoideum Aggregation,10.1371/journal.pbio.1002602
40,Balance of microtubule stiffness and cortical tension determines the size of blood cells with marginal band across species,10.1073/pnas.1618041114
41,Computing structure-based lipid accessibility of membrane proteins with mp_lipid_acc in RosettaMP,10.1186/s12859-017-1541-z
42,Refractive index tomograms and dynamic membrane fluctuations of red blood cells from patients with diabetes mellitus,10.1038/s41598-017-01036-4
43,Measuring the sequence-affinity landscape of antibodies with massively parallel titration curves,10.7554/eLife.23156
44,Cell wall remodeling drives engulfment during Bacillus subtilis sporulation,10.7554/eLife.18657
46,Cryo-EM structure of haemoglobin at 3.2 A determined with the Volta phase plate,10.1038/ncomms16099
47,How fast can fast-folding proteins autonomously fold in silico?,10.1016/j.bbrc.2017.08.010
48,Raoult’s law revisited: accurately predicting equilibrium relative humidity points for humidity control experiments,10.1107/S1600576717003636
49,In vivo imaging of coral tissue and skeleton with optical coherence tomography,10.1098/rsif.2016.1003
50,Probing cytoskeletal modulation of passive and active intracellular dynamics using nanobody-functionalized quantum dots,10.1038/ncomms14772
51,Histone code and higher-order chromatin folding: A hypothesis,10.18547/gcb.2017.vol3.iss2.e41
52,Analyzing Single Molecule Localization MicroscopyData Using Cubic Splines,10.1038/s41598-017-00622-w
53,Voltage-dependent K+ Channels Improve the Energy Efficiency of Signalling in Blowfly Photoreceptors,10.1098/rsif.2016.0938
54,Monolayer-crystal streptavidin support films provide an internal standard of cryo-EM image quality,10.1016/j.jsb.2017.02.009
56,OpenMM 7: Rapid Development of High Performance Algorithms for Molecular Dynamics,10.1371/journal.pcbi.1005659
57,Melittin-induced alterations in morphology and deformability of human red blood cells using quantitative phase imaging techniques,10.1038/s41598-017-08675-7
58,Markov modeling reveals novel intracellular modulation of the human TREK-2 selectivity filter,10.1038/s41598-017-00256-y
59,Decoding Single Molecule Time Traces with Dynamic Disorder,10.1371/journal.pcbi.1005286
60,"Co-operation, competition and crowding: a discrete framework linking Allee kinetics, nonlinear diffusion, shocks and sharp-fronted travelling waves",10.1038/srep42134
61,Predicting binding free energies: Frontiers and benchmarks,10.1146/annurev-biophys-070816-033654
63,Protein Collapse is Encoded in the Folded State Architecture,10.1039/c7sm00074j
66,CTCF and Cohesin Regulate Chromatin Loop Stability with Distinct Dynamics,10.7554/eLife.25776
67,Charge influences substrate recognition and self-assembly of hydrophobic FG sequences,10.1016/j.bpj.2017.08.058
68,CTCF and Cohesin Regulate Chromatin Loop Stability with Distinct Dynamics,10.7554/eLife.25776
71,Intensity-based axial localization approaches for multifocal plane microscopy,10.1364/OE.25.003394
72,Quantifying the Heat Dissipation from Molecular Motor’s Transport Properties in Nonequilibrium Steady States,10.1021/acs.jpclett.6b02657
73,Active Vertex Model for Cell-Resolution Description of Epithelial Tissue Mechanics,10.1371/journal.pcbi.1005569
75,Single-enzyme approach predicts natural emergence of inhibitor-activator duality,10.1038/s41467-018-02995-6
76,Non-equilibrium chromosome looping via molecular slip-links,10.1103/physrevlett.119.138101
78,Design principles for robust vesiculation in clathrin-mediated endocytosis,10.1073/pnas.1617705114
79,Assembly of photoactive Orange Carotenoid Protein from its domains unravels a carotenoid shuttle mechanism,10.1007/s11120-017-0353-3
80,Label-free high-resolution 3-D imaging of gold nanoparticles inside live cells using optical diffraction tomography,10.1016/j.ymeth.2017.07.008
81,Monitoring Microtubule Mechanical Vibrations via Optomechanical Coupling,10.1103/physreve.96.012404
86,Retrieving chromatin patterns from deep sequencing data using correlation functions,10.1016/j.bpj.2017.01.001
87,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6
89,Structural landscape of base pairs containing post-transcriptional modifications in RNA,10.1261/rna.060749.117
90,"Accurate alignment between correlated light, cryo-light, and electron cryo-microscopy data using sample support features",10.1016/j.jsb.2017.11.001
91,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6
94,Temporal super-resolution in single-molecule experiments,10.1016/j.bpj.2017.11.3741
95,Investigations of human myosin VI targeting using optogenetically-controlled cargo loading,10.1073/pnas.1614716114
96,Structural-mechanical remodelling of GDP-microtubules by kinesin,10.1038/s41565-018-0084-4
97,Tracking multiple genomic elements using correlative CRISPR imaging and sequential DNA FISH,10.1016/j.bpj.2017.01.032
98,A new and accurate continuum description of moving fronts,10.1088/1367-2630/aa5bf5
100,NODDI-DTI: extracting neurite orientation and dispersionparameters from a diffusion tensor,10.3389/fnins.2017.00720
101,Monod-Wyman-Changeux Analysis of Ligand-Gated Ion Channel Mutants,10.1021/acs.jpcb.6b12672
104,RNA Gelation in Repeat Expansion Disorders,10.1038/nature22386
105,Elucidating interplay of speed and accuracy in biological error correction,10.1073/pnas.1614838114
108,"Computing Osmotic Permeabilities of Aquaporins AQP4, AQP5, and GlpF from Near-Equilibrium Simulations",10.1016/j.bbamem.2017.04.022
